what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766686851115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766686875996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766686889367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766686960938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766686962503
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766686967931
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766686970723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766686972722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766687589104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766687730038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766687731442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688380123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688404128
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766688405994
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1766688406046
error,log,,,"Internal Error",1766688406302
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766688429354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688432113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688439970
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766688440234
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766688440234
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggleMarkOccurrences",1766688460088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688465177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688467434
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1766688467493
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1766688484045
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766688488144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766688489454
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766688489636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766688496876
